t,E_Load,E_Buy,WT,PV,GT_e,HFC_e,ES1_dis,EL_e,ES1_cha,WT_cut,PV_cut,H_Load,WHB_h,GB_h,HFC_h,ES2_dis,ES2_cha,G_Load,G_Buy,ES3_dis,ES3_cha,GT_g,GB_g,H2_Load,H2_Buy,EL_H2,ES4_dis,ES4_cha,HFC_H2,SOC1,SOC2,SOC3,SOC4
0,15,42.0955538758672,20.0,0.0,0.0,0.0,0.0,5.0,42.0955538758672,0.0,0.0,45,0.0,87.10526315789474,0.0,0.0,42.10526315789473,10,147.19298245614036,0.0,21.052631578947366,0.0,116.14035087719299,80,195.68564811117318,94.84066767830046,0.0,210.52631578947367,0.0,0.0,0.0,0.0,0.0
1,25,0.0,33.0,0.0,0.0,0.150252,0.0,5.0,3.150252,0.0,0.0,24,0.0,23.97182775,0.02817225,0.0,0.0,13,44.962436999999994,0.0,0.0,0.0,31.962436999999998,66,0.0,94.84066767830046,0.0,23.840667678300463,5.0,39.990776182073844,40.0,20.0,200.0
2,26,0.0,36.0,0.0,0.0,0.300504,0.0,4.426799999999999,5.873704000000001,0.0,0.0,38,0.0,37.9436555,0.0563445,0.0,0.0,12,62.59154066666666,0.0,0.0,0.0,50.59154066666666,60,0.0,83.96813353566009,0.0,13.968133535660087,10.0,42.94352480589177,40.0,20.0,222.64863429438543
3,28,0.0,46.0,0.0,0.0,0.45075600000000005,0.0,3.4267999999999996,15.023955999999998,0.0,0.0,48,0.0,47.91548325,0.08451675,0.0,0.0,11,74.887311,0.0,0.0,0.0,63.887311,50,0.0,65.0,0.0,0.0,15.0,48.480600081085875,40.0,20.0,235.9183611532625
4,28,0.0,47.0,0.0,0.0,0.45075600000000005,0.0,4.068240221606646,15.382515778393351,0.0,0.0,51,0.0,50.91548325,0.08451675,0.0,0.0,14,81.887311,0.0,0.0,0.0,67.887311,50,0.0,77.16692377857828,0.0,12.166923778578274,15.0,62.70487768100479,40.0,20.0,235.9183611532625
5,32,0.0,43.0,0.0,0.0,0.300504,0.0,5.0,6.300504,0.0,0.0,58,0.0,57.9436555,0.0563445,0.0,0.0,15,92.25820733333333,0.0,0.0,0.0,77.25820733333333,55,0.0,94.84066767830046,0.0,29.840667678300463,10.0,77.25556279279746,40.0,20.0,247.47693874291187
6,35,0.0,40.0,0.0,0.0,0.150252,0.0,5.0,0.150252,0.0,0.0,43,0.0,42.97182775,0.02817225,0.0,0.0,14,71.29577033333334,0.0,0.0,0.0,57.29577033333334,55,0.0,94.84066767830046,0.0,34.84066767830046,5.0,83.16378603000466,40.0,20.0,275.8255730372973
7,41,0.0,50.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,58,0.0,58.0,0.0,0.0,0.0,15,92.33333333333333,0.0,0.0,0.0,77.33333333333333,100,0.0,94.84066767830046,5.159332321699537,0.0,0.0,83.22336164397466,40.0,20.0,308.92420733168274
8,43,0.0,38.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,68,0.0,68.0,0.0,0.0,0.0,13,103.66666666666667,0.0,0.0,0.0,90.66666666666667,152,0.0,94.84066767830046,57.15933232169954,0.0,0.0,86.94013828233068,40.0,20.0,303.49333120357795
9,49,0.0,34.0,17.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,83,0.0,83.0,0.0,0.0,0.0,10,120.66666666666667,0.0,0.0,0.0,110.66666666666667,136,0.0,94.84066767830046,41.15933232169954,0.0,0.0,76.32688235457466,40.0,20.0,243.32561297021005
